Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
He was stupid.,az stupi d  zhe though t itw asstubit,hew,,Alternative2
Karl was not interested in Rima’s money.,ied b reakimgvree garlwasn odim tel es dedi,karldr, nrima’zmon ey,Alternative1
Tom and Mary have convinced John to stay for another three days.,donha sbe en awayv ort hreedays tomamdnaryh aveconvinc ed johntoz  dayvora m  od h  erthreedayz,,tomt itntwa ndt operieved her um oraboutmar ya n djohn ,Alternative3
All his attempts were unsuccessful.,allhisatte n ptzwele unzuccezsfu   l,alm osteveryone hasvaire d,,Alternative1
Sami was there to load the furniture.,aniwast he ret olo adth ef ulnidure  sam iwasremti ngl oons,z,,Alternative1
Big Brother cares for you.,b ikproth e rcalesfor you,ig n owhowm uch  youcal  efolne,sec recyizimbol damd,Alternative1
I don't want to read more.,idefim ite ly dontwantto lea dd had id ontwan tt or ea dmore,,idon te fenw andita nymor e,Alternative3
"As soon as Alberto noticed Isabella, she quickly hid.",a szo o masal perdonoticedisa pe rlas he  qu ickryhid,albe rd ohasm tse en izabelraeversince,,Alternative1
Tom says that he'll come tomorrow., wouldto it tomorrow tonsays tha thel lcome  tomorrow,oldm eh e,tonw il lpebuz yadth iz ti met omorlow,Alternative3
The whole neighborhood supported the drive.,thewhole neighbolhoo ts up bortet thedl  ife,t hewhoreh ousewas filledwid h gu ests,,Alternative1
"You decided to enter the room, didn't you?",you d eci detto emtertheloo n didm tyou  y ,d id youzw id cht h elikhtoffin ther iv inkroom,ou ren otimb,Alternative1
You won't be able to fool Tom.,zkoi ng to redyoudothat you won tbeab let of oo rtom,i don td hinktomi,to mwo n dre tyougu  ystothad,Alternative3
You're a slob.,id iot youreaz lo b,ean,youseemumpert u rbet,Alternative1
You'll be more than welcome.,yo u lrb emo ledhanwelcone  img ladyo urepl amming toc ome,yo ul l pemissetaro t,,Alternative2
"You're a better cook than Tom is, aren't you?",erta in lyisi s mthe you reabe dt erc oo kdhan tomisar ,y ousa itto mwask imdant hec,enty ou,Alternative1
I always thought Istanbul was the capital of Turkey.,ialway sthoug hd izt anbul was t he capitaloftulkey  i m man yreztaura ntsind urgeyk ebabist,g r am adaiznyfavouritec ity,h em ainentlee,Alternative2
I am learning Yiddish.,w ianl ea rnin gyittizh,bre,iam learmink twofole i gnlangu agez,Alternative1
I took many selfies in Kabylie.,knanyselviesin kap y lie  ito okm yf ami rydokaby rie,i too ,,Alternative1
"If I had not been convinced, I would not have found the courage!",i f ihad modp eemconvi mcetiw  oultnoth avev ound  dheco urage,iwontelivi zho urd t rustmy inz t imcts,i v dhewo r ldwe  remt imthez habeitiz nowic oult tr uzdanyome ,Alternative3
My husband left me a surprise.,myhuzp andre fdmea surbr i se,itkimt ofsurp  lis edne,tivolc ingcl osz edmymind,Alternative1
"The sea is a road, because it leads to the islands.",th eze ai  saroad bec a uzeidleadst o thei zlamds,ordag ei sani slantzu r loundedp ydead h,thisi zast  leet,Alternative1
Tunisia appealed to Algeria for assistance.,isiaa pbealedt oalgeria folassisdam ce  zi li neededto leafealgeria,t um,,Alternative1
Remember that these phrases are very useful for communication.,le nem berdha tth eseph razesalever yuse  fulfol,juzdleme mbeli  ngthatdhes ephras esa referyuzevulvor comnuni c ation,commun icadion,Alternative2
Tom didn't light the candle.,ut alltheca n dleson dhecake t omt idn d rightdhecan,t on was n tab reto blowo,dre,Alternative2
It smells like kerosene.,idsn e rrzri gegerosen e,,ism erl etgas,Alternative1
I'll call you as soon as I get back from Boston.,i lr c a llyouas zoonas igetpac kfrom  bo zdon,inisset y oua l o twhi rey ouwer einbost om,id bekl ad to kotob osto  nwith you,Alternative1
That's already illegal.,lleadyilregar  th is izacrineagai nsthu nan idy,th ad za,,Alternative2
"While we're waiting, why don't you tell me what happened?",aid whirewe rewai dimg whyt  on dyoudel ln e whadhabpened,w hyditn tyouw ,wh yt idntyou tel lme y ouditn tgnow  wha ddodo,Alternative1
Tom and Mary said they only did that because everybody else did.,domam d mary saidtheyo  nlyd  itdhatbec auseef er yboty elsedid,,tonamd marystil l havem tdor  tnewh ydhe yd idn t ha vetodo that,Alternative3
Tom and Mary are too old to be doing that on their own.,ei rmin dsnoddod othat d o ma md nal ya retooo  ldtoped oimgtha d om dheirown,ymat eu pth,id hi nk tonan tm  arydon twan tdod othat righ tmow,Alternative3
Mary looked like she needed help.,mal yneeted someonedohelpher wit h h erhomewolk m aly look edlikeshe meed edhelp,,ma ry sait tha dz hewamt edmyherp,Alternative3
We play games together.,w eplaygame ztogeth el  we rebl ayingf olkeep,re ds blaytokether,s,Alternative2
She's heating the water.,zhes heatin gdhew ate  l,she zsohod ,,Alternative1
Are Tom and Mary living with you?,ar etoman  dmary livingw id hyou,,do you dhink  tonamdm arya reunsociable ,Alternative1
Ziri will never forget that summer.,iliwilrn ev ervor gedd ha tzunmer  si ria lw,s,aysmadezureto stay cl osetoyazi d,Alternative3
"In 2004, Yanni accepted Islam.",in 2004yanniacce pted i  slam,yam ni ismuslimam dhewazr a isetreri g ious,,Alternative1
"Despite all his wealth, he is stingy.",ideallhisweald hh e isstink y,d e zb,hese en ztob  elichn ow,Alternative1
It's not likely that Tom will shed any tears if Mary gets fired.,ker ythatdo mw illsheda n  ytears ifmalyg et  zfired  mayp et,idzm otli ,om t oesmtk n owthad nar ywastheone who dit that,Alternative1
World War I lasted from 1914 until 1918.,ila zte df ron191 4undil19 18,w orr dwar,w efoleza wt hewar,Alternative1
Ziri needed to leave Algeria.,zalaries si rime edett oleafealk eli,ar k erianeedzto laize,a,Alternative1
I think it would be a mistake not to attend today's meeting.,tingdo tay ithing i tw ouldb eami sda kenot  to ad,it spos sib l etonwondattemtdheme e,te nttodayzmeet img,Alternative1
I sliced the onions.,e dtheonionz,i sli c,imea dingpeal z,Alternative3
Ziri must be in a hurry.,r imu zdbeinah ur ry  y ou neett opem ic etozil,z i,i,Alternative2
Oleg can help Rima with that case.,o l egcanhe lpri m awiththatc aze  l uk asurge,rim aherpedot herz,trimatododh ad,Alternative1
"Mary is good at geography, isn't she?",yisg oodadgeo krab hy isn tshe  maryispr etd yclaftyi z mds he,ma l,,Alternative1
Mennad went straight to his friend's house.,ryear men na d wemd sdra ighdtohizfliendzho,me nma driv ed inthish ou s eforaful, uze,Alternative1
He began to worry about her.,h ew orriesaboud her hebega mdowolr yabou th  el,,iwazwo rried vor  he rsafety,Alternative3
I couldn't see anything because I was blindfolded.,ul tm tseeamythinkbeca u sei wa sblint vortet,eze e what itiz ico,ho wcouldihave s eem what  yo uw e reto img wh  ile youw  ereztan din kbehindmei ha ventgo t e yesimthepacko fmyhead,Alternative1
"Tom is quite outspoken, isn't he?",eoudzbo k emiznth e  tonisb eink lude isn,d omi squit,d he,Alternative1
It'll ruin us all.,idl lru inusa ll  wewi lro utl iv,i lllo zeevelythink,edhem,Alternative2
But he believed he had good reasons.,buth ebelie vedh  eh atgo otreasonz,it wasbecauseshe had vait himhiz ca babir id iez,t om n usd hav e ha tagootreasonf o rwhathe dit,Alternative1
Tom and Mary said they've only gone sailing three times.,rwher ned to mand naryza i dthey feon lygonezailim  gdhreet imes,tonan tma ryzai ddhatdhey weleo fe,t oman dm aryz  aidt hatdh eyhad toreave,Alternative1
There are more practical choices.,he rc hoice d hereal emorepla cdical choicez,thele snood,to nh asblen tyofoptio nz,Alternative3
I'll buy you one just like it.,ill p uyyouon eju   s trikeit,illpuy yo ua ne  wone,,Alternative1
I don't think Tom will be as enthusiastic about doing that as you seem to be.,iton dthink t onwill  beasemd   huzias  dica pou d do i  mkthadasyous eentobe,i don td hi nk ton isgoimk  tolety oudo thad,,Alternative1
Sami picked on Layla.,icget onl ay la  s am iwas,sanip,zexdinglayra,Alternative1
I'll just do it the way I've always done it.,ill jus td oitdh ewayi veal ways d onei,iv etonea  llimk oingt  oto,d   iwill,Alternative1
Tom is from small town about three hundred kilometers from here.,isvromsmalldowm a poudthr eeh um dred  kiro metersv lomhele  tom,t om,haspeen awayf o lt hleetayz,Alternative1
All wisdom comes from above.,algztowardswis ton arlw iston co mezfromab ofe,th eworrdz lowly w,evely on eis inzam eea chin theirow nway,Alternative2
Is this a new rule?, iza n ew rule  i sthisreal lym ewz,izdh,,Alternative2
Sami was very terrified.,sami wasver yterli viet,zani wazde vinitelyaflai d,sam iwas al itdlefreage d out,Alternative1
I wish you'd told me what to expect.,i w i shyou td oldmew hadto ,iexp ecdedzon edh img noref romyou,exbect,Alternative2
Would you check the tyres?,would yo uc heckthetyre s  ar edh ese comtomsyoulz,wourty ou pi bedown,,Alternative2
We're concerned about our daughter's health.,conce rnet apoudourdaug hte l shearth  imrearryw orri edabo ut nychi rd,wele,,Alternative1
Do you mind helping me carry this box upstairs?,el py ougedupt here doy ou m in thelbimgm ecalry thisboxu ps tairs,am tmetoh,w oultyo ugive meali  vdhom e,Alternative3
Yanni was being overly friendly like he was trying to charm the waitress.,ya nniwastemb de d tospeed yanni was beingove rryfli entlylike h ewastrying toch arn th  ewa itresz,,yanniwaz p aranoidzo mu chsodha dheac c usedzgu   lashehadpeen   hafi n ganaffairw   ithaneikhpor,Alternative3
Last week I quickly read four books in my room.,wlitenofelz l as tweek iquick lyr eadvo  ulboogsinnyr ,it t ookneal o ng timed orea rmdo, oon,Alternative1
I didn't buy everything you asked me to buy., yevelyt hinkyoua zk  et medobuy,idid nt bu,itidnd h afe allm yzt uvf,Alternative1
Will we ever meet again?,arewe goi nkou t agaim wilrw ee vermee d a,,gain,Alternative1
Both of us are very fond of curry and steak.,w ell done podh ov us ar  eve ryfomto vcurry an tsteak,il i kenyneat,iloveh ampu rgelz,Alternative1
Tom said that he isn't used to this kind of food.,said hed idm th aveti medoe admow d om sa idth adheis  mtu  settodhizk imd offood,tom,domza id th ad ma ry doezm  thafetoeata mythinkzhetoe smtl ike,Alternative3
I haven't ever done that.,i ha ve nteverdoned had  id ne fe rdone idpef,if en eveldo netha tmote veno nce,ore,Alternative2
They didn't want to spend much time talking about it.,theyt it n t w anttospendmu chtim etalki ng aboudid  dheys ai,n oo  newamdedtotalka bouddh ozethi  ngs,tthey meedetsom enore tin e,Alternative1
Tom doesn't have any family here.,tomdoez nth afeamyfa m  ily h ere,to md oesn thaveamysibl inks,,Alternative1
The man is drinking water., ni zdlinkimgw adel,dh ema,do n tdrimkdhiswa ter,Alternative3
"If this was really our language, we would have used ""v"".",ifdhi swasreallyou rl ang uage  wewoul dh  afeus edv,dh ele izasa  yimkinourran   guageit  dakeza thiefdoc a tchath  iev,ify oureallydh ingth ese  nden ceizboori lrbewill i  nk ofcourset  od e retethise xanple,Alternative1
"That doesn't matter, really.",oesn tm atderr eally  th atma k,thadd,ezmodiffere ncetom e,Alternative1
The boat was piloted safely into harbor.,t heboatwa spi  lotedsafe ly i ntoharbor,,ed mum towa zonth eship,Alternative1
I could not sleep much last night.,ic ou rd notsleeb nuchlazt n ight,icourdnds ree bei dher,i h avendsl ep tforzefera ldays,Alternative1
"She owns property in Kabylie, Algeria.",zheowms prop ertyingaby rie  arkel,hewaskidna b pe dinkapyrieal geria ,ia,Alternative2
"Below was a little valley and beyond a long, gently-rising slope with snug farmsteads scattered along it.",sr e vtade epk roofeonit ztrumg bel owwasalidtleva lleyand peyo n  talo  ngkently lis imgzrobewidh sn ugfalmsdeatszc attere tar o ngit,lucgpyli kh dmi nkwhichha,a z d hesbrimgd rew nik hth esmowner dedt hee   ar thdisprayedit serf a mtthe klazzpekantogrow,Alternative3
Everybody needed to do that.,evely po dyneedettodo th at,eferyb ody sdoingthad,efe ryo neisdoim gdhat,Alternative1
Ziri brought his gifts.,ziribl o ughth iskif ts,,zi rilesig neto verdhat,Alternative3
I wonder if I'll get any stars yet.,iw on de rifill gedan  y  sta,if you could l i veinastar  w hicho newourdyo ub icg,lsyet,Alternative1
"On his way back, Felix heard a strange noise.",er ixd efiniter ypudast opdothad lig htaway o nh iswa ypa c gfeli xhe aldastran,f,ke moise,Alternative1
"Paul decided to go to sleep, too.",ba uldec idedto gotos  lee b too,paul wasta kinknot ez,,Alternative1
We hope to reach the top of the mountain before dawn.,weh o ped or  eachth etop of d hemountainbe f  oredawn,dhe moomr ose apov et hehirl,,Alternative1
He's not mature.,hez nodm ature,m enmadisnt fu rlymadu leyet,heisn tnorm al,Alternative3
I went to England for two weeks to hang out and see the sights.,e nd doe nk la  mdfortwo w eekz doha ngou dand zeethesighds  do nandiwerepodhi,iw ,ma u s tr alial a stweeg,Alternative1
What you are doing is now much more dangerous than what Tom did.,w hady oualet oin gisnow nu chmore d angelouzth amwha  dtom did,w hatyoud i ddot  onwas cruel,ith ough t you saidt hatdomwa sd angerous,Alternative1
Destroy this temple.,te sdloythiztemple ,dhizpraceroo gs ligea c emeter y,i zth is amosque,Alternative1
"Previously, I was going to have been having to have gone to have had an operation requiring anaesthesia but by the time I was able to comprehend the grammatical tenses used in this sentence, I was discharged from the hospital.",imsd il labi dsoleaf dernyopera tio n p r e fi ously   iwasgoi mkdohafebeemhavimkt  ohaveg  one dohavehadanob eladi  on requ irim  ga naesth eziabut pythedimeiwaza p retocomp r ehen dtheglammatica,,r tense z uzedi ndh izz e n  t emc eiwastizchalgedvlonthehospidal,Alternative1
My religious woman neighbour feels really insecure when she sees anything about science fiction.,myleligi ouzwonann eigh poulfeer srea llyimzecure whens  hezeezamy dhinkaboudzci en  ceficdi on,zc iemcef ictionisahighl yima kinat ife genre,m yneig hbo ronthe seco nt  floordold n ezonej u icygoszipyou   reno dgoimkdobelieve it,Alternative1
Tom needed to rest.,domme e deddole st,tomne ed  stowa tch hizbacg,domneedsazziz ta nce,Alternative3
Tom needs assistance.,d om to ldme youne edhelb to mmee dsassistance,,i sh ouldtelrt omtha tine ed  h izhelp,Alternative3
He turned his violence against himself.,hetu rmethizv iolen ceagains thimz elf  hewa,hewasa zs aurted,spl azingwith amg el,Alternative1
"Don't skip classes, okay?",dom tskibclas  ses,nob reathimginc la ss,ok ay,Alternative2
Someone will do that job.,iwishd hatsom epod ywoul ddot hat so m eon ewir rdothatjop,,every oneizdoim kth ad,Alternative3
"I can play chess, but I can't play checkers.",ic anpra yches z p udic  amtplayc hec,w hydondweb lay aka meo vc  hess,kerz  ic an,Alternative1
Yanni went straight home.,ya nmiw entst raighthome  ya mniw asleafing,yanni w azlivimg i nexile,wo,Alternative2
I had a peanut butter and jelly sandwich.,i hadapeam u dbudte randj elly zant wich,peamutbutt elan djellyple az e,iateabama n aford  ess erd,Alternative1
Ziri called Rima but she didn't even pick up.,z i ric ar ledr imaputsh editnde venp icgup,si ridit ntt ellrimah istru emane ,sil iamdr ima n olo ng elg otalo mka swe llaz d heyusetdo,Alternative1
I wonder if it's safe to do that here.,rif itszaf etodo  thadhel e  do,iwo mde  ,you th imkitzs af etosd ayher e,Alternative1
I have no car.,iha ve mocar ,i ton t hafe  th enon ey topuyacal,iti dnttriv enyc al to day,Alternative1
I'm sorry I couldn't help them.,im s or ryic oultn ther  bthem,i cam d todhatwi thou thelb,,Alternative1
Whether I’m drunk or dead I’m not too sure.,i mnot dlumg yet w hethel i’md lumg o lte adi’ mmod toozure,,ithin ki haveast o mac hvilu  sor thev luolb ot h,Alternative3
Yanni had a tactical shotgun.,atacd ic alshotgun  ya nmihada,y annih ad,wig on,Alternative1
Ziri finished running upstairs.,fla tload silifimishe trunning upzta i,zi risp rimtett owmthe,rs,Alternative1
I'm going to be your lawyer.,tice imgoinktob ey o urr a wyel,tdoj us,t omizgo  imkdome  edakoodr awyer ,Alternative1
Our group can't compete with an orchestra of that size.,weal em tvelyli kelydo sin gtoke ther o urgroupcandc ompetew idh a no rcheztl a oft,, hatsize,Alternative1
The bomb separated from the ship.,thebompzeparat edf lo mdh  es  hip,dheshibhull is divide dindo wate rtightcon bald mends,,Alternative1
Would you like another cup of tea?,uli ket o have somewine wo uldyouli kea m othercup  ovtea,w ou ldyo,ateaspoon pl ease,Alternative3
Palestinians are human.,paleztini ansar  e human,pa restine hatavib rantculd ure,,Alternative1
I like feeding pigeons.,ili gefeedi mkpi geonz  thepi rtspec ged,ili ketos mac g, glains,Alternative2
Did you watch the match on television?,tid youw atchth enatchonte levi  ziom,didyo ugoto  the ci ne mayesterday,haveyouseem d hadn edfl  ixseriez,Alternative1
He said he wasn't sure what to do.,malysaid sh ewa sn t zulewhadtot o h esaithe wa  snt sule,,whad  toto,Alternative1
Why did Tom's wife leave him?,onsday ingwi thyou w hy didtoms wi ,wh yi st,feleafeh im,Alternative1
Who did Tom and Mary plan to ask for help?,h otid tomam dnaryp lam toa zkf orhe lp  w hatweretonamd ma lycelebradin k,w ,,Alternative1
He planned a surprise party for her., rbr ise   bard yforher  helefda mezs ageo m the dablev or hel,heplannetazu,,Alternative2
Do you think Tom and Mary are still hesitant to do that?,toyo u thinkt ona nd m ar yale ztilrhe sid amt tododhat  i th,ar et omandm  aryb e rmittedd ododhat, ink,Alternative1
Get Tom back here.,mbackh ele  g eto v erher erightn,get to ,owdom,Alternative2
Sami is insane.,anii zinzan e  sanig od zom ad,s,,Alternative2
"Tom is really stubborn, isn't he?",ou tspogen isndhe tomizreallys t ub bor nisnth e,q uite,t omisbe inkrut eiz n the,Alternative3
Hunting season has just started in northern Algeria.,humt imkseaso nha  sjusts dard edimnortherm arkeria  dodra v elt om orthamericaisexp,th egl ound i mnolther malgeriaisparticularr yf eltile, ens,Alternative2
Sami had dinner and went to bed.,zanihad dimner an t wentt  ,samiandl aylaa ted i mnertog edhel,obed,Alternative2
Sami is dead now.,mi isdeadn ow  sani emte dupdea,s a,t,Alternative1
Layla was beaten in the face and the chest area.,layr aw az beat  eminthe vac eandt h echesdalea,la yras hav edhe rpubicarea,raylalo oge dlik esh ehadpeem peat en,Alternative1
He asked me where his book is.,he a skedme where  hispo okis  i wl otedh at vor,anywheredom aldko ez  hehaza  bookwi t hhim,him,Alternative2
Tom and Mary are always fighting.,alk uink toma ndmal yar ealw aysvik ,tom andna ryareco nstantly,hting,Alternative1
The misbegotten child must be killed. His Excellency cannot handle another scandal right now.,hi smi ndk eptl u mningomhisd eadch ilt dhemis beg o  ttenc h ildmustbekilledhisex c erre mcyc anmothamdreanot hers candal rightm,,ow,Alternative1
They warned us.,eyw almedus  wewilr oudliv eth em,th ,,Alternative2
That's basic economics.,ec dourecon omy thatzbazi cecon omics,aff,itsmo meyt owmt hetr ain,Alternative3
"Tom is always prepared, isn't he?",to nizarw ayspl epar edi sm dhe,,t om is ovte mruteisndhe ,Alternative1
Tom got a D in the test.,to mk oda di ndhe de zt,t omdoz edoff dulimgt heexa m,tom has cooties,Alternative1
There's honor among thieves.,the resh onoramon k thievez,,h ei zdhe soul of honor,Alternative1
He never forgets his money.,he n evervolkedz hi,zhecombra in etcomtimuallyth atthel ewa snom one  yrevd,zmome y,Alternative1
I doubt Tom will want to go to Australia with you.,id ou ptdo mwillw a nddo kod oa us tr ariawithy ou,,dom izblopab  lynot  go i mkdogo toa uztlariawithu z,Alternative1
The party had to be cut short.,tyha d dobe cuts ho ld  wemeed,dhepar ,do cance rth emeed img,Alternative1
Tom certainly knows what he's doing.,do toncer tainl yknowswha t hez doing,do esto mk nowwha tto,i tdoesntseent onet omk no w swh ath eztoink ,Alternative1
Discussions about religion are very often contentious.,z heoftem zpeak sapo uthelfia mcé dis cuz sio nsapoutrerigionareveryoften c,,ontent io uz,Alternative1
The wood's got to be handled carefully.,secr ecyizi mportand thewootskod dobeh ant ledc ,,a ref urly,Alternative1
I miss the love and affection I used to have.,ini s sd hel o vean dafvectioniuz edd o have,imi zsm yhometow m,l ofe mak e sussuvferliged ogs,Alternative1
Mary said she'd buy some stamps.,za itshe dpuyz omesdan pz  n ary s aiddh atshe woulddoit,mar y,,Alternative1
I found him!,ifo u mt him,,i zawh imk oinsi de,Alternative1
They say that they won't do it anymore.,th eys aythad th ey wontdo idany more,t heysa ydhatth ey dneveldo d had again,th ey said t ha dthey ditmtha fet odothat,Alternative2
The kitten is between the puppies.,thegi tteni sp etweent  hepupbi  es,th e cadi sp layimgw idhthed og,,Alternative1
Are there any Chinese restaurants near me?,mto frest aulanti zthatac rossdhesd reet a redh ereanychinesere stau rants n earme,wha dk i,whad t imedoesthisr esdaur antc lose,Alternative3
Mary knows you didn't eat the cake she baked for you.,nowsy oudi dndead the cak eshepage tfo r you,ma lyg ,malydoesmdkmow z he zatopd et,Alternative1
It isn't like that at all.,i disnt  rigetha tat all  mode,idisn tt ha tata ll,velybotyrikes doi ngth iz,Alternative3
Ziri converted to Islam from sheer admiration.,zi liconfe rtedtois lamf romz heelatnil at  ion,izr ammade zir ihabpy,,Alternative1
The decision was postponed.,t hedecisionwas bosd bo  med,w h atwasdecited,,Alternative1
Where did Tom go to college?,wher ed iddomg  otocol,wh en didtomklatu adeflom hikhs  chool,l eke,Alternative1
He felt the pricks of conscience.,dhep ric k sofconzci emce  h ezaithe fert l ikegifi ngup,hef eld,,Alternative1
She says that doesn't surprise her.,isether shes ayzt hat do esntsur prizehel,thatsu rpl ,shesaidt hadshe izn dwor  ried,Alternative3
Martino turned up the volume on the TV.,re reasedtoo nal t i modurne tup thevoru meomthe tf,z,mal dinok ept havink thesamem ightmare,Alternative3
Tom and Mary said they'd be home this evening.,do namdmary za id  dheytb ehonet hisef emi  ng,dond ol dmalya mdi  tog oh oneby o ulselves,,Alternative1
I know that Tom and Mary didn't do that together.,tt heyhaddod oth at i gnowdha d toma m dmal ydidnt do  thatdoget,tona n dmal yt itmd z eentobeawar e tha,her,Alternative2
"You're a loser, too.",u real oser too,yo,yous eemumpert ulbed,Alternative3
It was clear Tom was supposed to do that by himself.,it w ascr eardo mwas su ppose ddododhadbyh i  mzelv,tomwasopv io u sl yre ructamttod odhad,,Alternative1
Tom has been very clear about that.,tonh azb eenve ryclea  labou tthat  tonizcomple tel y,tomw asobv ious lyreructandt o tod hat,rea zonabre,Alternative2
Everyone says that Tom is a nice person.,st kuy ziknow ef eryo neza ysdha tt onis amiceperzo m,mice ,d om i zoneo fth eswe etes d peopleiknow,Alternative3
Ziri leaned in and kissed Rima on her cheek. She blushed like crazy.,gamdscreaming zi lileaned ima n tgiss e d rinao mhercheegzh e bruz hedr igecrasy,edri na awaygi cgin,zili amtrimas tartedc ou ghimk,Alternative1
I got on the horse.,o ton dhe hol se  iam lim bingalo ng,ik,,Alternative1
Sami walked in with his girlfriend.,ketinwithh i skirrfri end,sam i war,sani wasdrin kimkw ithhi zvri end,Alternative3
Everybody feels at home with him.,eve ryb od yveelzath omewi thhi n,,m oo neishom e,Alternative1
Tom said that he didn't think Mary really had to do that by herself.,do nsaid dh ath edi tntd hingmar y re a rryha  dtotot  hatbyherself,,tomsaith edoe zndt himgmaryrea lr  yme etsdo todhad a nynore ,Alternative1
I enjoy spending time with him.,ndingd inew it hhim  iwazfas cinaded wi thhim,iemjoy sp e,,Alternative1
"You've worked with Tom before, haven't you?",y oufe worgedwi dhtombef or eha fentyou,dityou ev elsee dom afdeldh a d,ha fe youb e en tota lkdodom,Alternative1
This calculation is incorrect.,thiscal cur atio nizincolrecd,thati sam ist age,tha twou rd a bpe artobecorrect,Alternative3
Just because a mother happens to be beautiful it does not necessarily follow that her daughter will grow up to be the same.,spea ktot hedaukhd erim l awsothatdhenother inrawmay umterstand just b ec au seamot  h erhabp enzdobeb eaudiv ulitdo esn odnec essa r ilyfoll owtha th erdaug hd erwirrkr owup dobedhesame,,ashes atnex ttoh is dyi ngmothe  rinth enu rs ing home   do nrekrettetmoth  afin kb eenabett er sontoher,Alternative3
How long was I in there?,ngwasi i  nthere  i jusd habpene tto pedh ere,ho wl o,atth attim e,Alternative3
Those separatists are sociopaths.,dho se zeparatiztzalesoc iopadhs  we r lfucg dhosese paradiztsubpi gdime,thesebara ti stsareinsanelyp alamoi t,i,Alternative2
Sami forgot Layla.,sanif olkodl ,sanib a idra ylamonin d,ayla,Alternative2
We went out for some fresh air.,wew e nto utforzomef  rezha ir,redz opena wi ndow toge ts o me vreshail,wel e curr ent lyexperiemcimgsometulbulemce,Alternative1
Are you a good fuck at the tennis club?,u ck atthe  t  enmis clup  yout omtkn o wh,a leyouakootf,owtop rayten niz toyou,Alternative1
We still have a shot.,w ez d irlhafe ashot,wezdi l l h avequ itea  pittodo,we reztirlshopb i ngaround,Alternative1
Sami has a picture of his cat.,sam ihasapi cd u reof h iscat,samihadpi cdurez ,sami wa mdedtok eebth atpi cture,Alternative1
The Gulf of Mexico is a critical breeding ground for many types of sea turtles.,dh egul fof m exicoisacriticarbre ed imgg rou  n dform amydypeso f seatu rtles  dezert l isardzhavefimekl anu,arezm abbingt ur dlesdankerous,lal dorsal zcales,Alternative1
I should've let Tom do what he wanted to do.,i z hou ltve lettontow  hat hew antedd oto  d o mler uctant l,to msho ultha vepe ente  mbtedtod othat,ydidwh athewasdo,Alternative2
He pondered his next move.,  edhisnextmov e  he motiomedme,hepond el,dovo llo whin,Alternative1
I most certainly didn't say that.,ai nidit nts ayt hat i mosdcertaimlyd id mt  saythat,in cert,ihafe nthea rdthadpart icu r alsaying,Alternative3
"""What's the reason for your allergy this time? Is it the olive oil in the salad?"" ""No, it's the tomatoes.""",wha dzd here azomvoryoul all  erg ythistine i  sid theo li veoilint he zarat  no it zthetomatoes,you i nd h ereyeahwhy  hur lyu pyourd aughter  wamdzto takead unb,howsyourcous co uzit sdel iciouz,Alternative1
Will you please just wait a minute?,wi l ryoubl ea sejuztw ait am  imute,c oultyouho ld dhi  sfora sec,,Alternative1
Most people do that.,opret odh at  evelypod ysdoin gthad,noz tpe,,Alternative2
Tom fired his gun and hit what he was aiming at.,t omvir e dh isguna n thid wh  ad,t om to okoudhisgu  n and shotmary,hewazainin gad,Alternative2
She withdrew five thousand pounds in cash.,shewith tre wvi vedho us amtpoumtsinc ash,,here ceivetanirli on do llalzetdlement,Alternative1
Ziri's birthday fell during a weekday.,si rispird ht ayfellduring aweeg day,zil i wastherefo ra wee k,zir imi zse zhizunivelzidyta yz,Alternative1
Don't forget tomorrow is Tom's birthday.,don dfolgetdo nolrowisdom sbilt  hday,to nizn trige rytol eafedo molrow,domhas tole afetom ol rown olnink,Alternative1
Tom and Mary think they're stronger than me.,doma ndma ryt hi nkdhe ylezd  ronkelthanme  to mandmal,id hi mk donan  dmaryar etoo aggressive,yale n d o n dh esa metea maziam,Alternative2
"I am permitted to leave, based on the command of the king.",ia n perm  itted tole  aveb asetondhec on mandofthe kimg,iriv epy myow n  rules,illper m idyo utog o,Alternative1
Tom often fails to keep his word.,emfail zto keeph is wor t  tonwa salw aysencouraki mg,tomofd ,,Alternative1
Hippos can prove lethal.,hip poscam brov erethal  idcou ltpe d ea,elia scan rite acane r,dly,Alternative2
She's just an actress.,tana  ctrezs,shes juz,theactr ezzisstudyi nkh el role ,Alternative3
I enjoyed working with you.,edwo lkingwith you  id kladl,i en joy,yko wi thyou,Alternative1
Does Tom know you want to do that while you're in Boston?,nkto gotoboz to nwithyou toes t omg now  you wandtotot hatwh i leyou  reimpozton,iz uspec tdha dtom isn t bla nmi,tomh as peeni npoz tonha smth e,Alternative1
I know Tom didn't know why you wanted him to do that.,ikmowdo ndi tn tkmowwhy y ou  wamt e dhimdo  dothat,tomd oezn  dkn owwhy you ditdhat,i kno wdh addomdoe  sm tk now whyinev e  rwa mtedtodothat,Alternative1
